"","source","confidence","target","weight"
"1","Myc","A","Tert",1
"3","Smad3","A","Jun",1
"5","Smad4","A","Jun",1
"7","Sp1","A","Aldoa",1
"8","Tp53","A","Igf1r",-1
"9","Zbtb16","A","Ccna2",-1
"10","Stat3","A","Cdkn1a",1
"14","Rela","A","Abcb1a",1
"15","Tp53","A","Cdkn1a",1
"16","Tp53","A","Rb1",-1
"17","E2f1","A","Cdkn1a",1
"18","E2f3","A","Cdkn1a",1
"20","Yy1","A","Nr3c1",1
"23","Tp53","A","Bcl2",-1
"25","Stat4","A","Irf1",1
"26","Wt1","A","Odc1",1
"27","Hnf1a","A","Igf1",1
"28","Stat5a","A","Igf1",1
"29","Ets1","A","Timp1",-1
"31","Arnt","A","Cyp1b1",1
"32","Ahr","A","Cyp1b1",1
"33","Tp53","A","Ccnb1",-1
"35","Stat5a","A","Ccnd1",1
"36","Tp53","A","Mdm2",1
"39","Rbpj","A","Hes1",1
"40","Atf2","A","Ccnd1",1
"41","Jun","A","Ccnd1",1
"44","Nfatc2","A","Il4",1
"45","Hnf4a","A","Gucy2c",1
"46","Rara","A","Sftpb",1
"47","Jun","A","Cdkn1a",-1
"48","Jun","A","Tp53",-1
"49","Stat3","A","Prf1",1
"50","Pparg","A","Serpine1",1
"52","Sp1","A","Faslg",1
"53","Ar","A","Klk1b26",1
"54","Ar","A","Klk1b8",1
"55","Ar","A","Klk1b9",1
"56","Ar","A","Klk1b1",1
"57","Ar","A","Klk1b11",1
"58","Ar","A","Klk1b27",1
"59","Ar","A","Klk1b22",1
"60","Ar","A","Klk1b21",1
"61","Ar","A","Klk1b5",1
"62","Ar","A","Klk1b16",1
"63","Ar","A","Klk1b3",1
"64","Ar","A","Klk1b24",1
"65","Ar","A","Klk1b4",1
"66","Ar","A","Klk1",1
"67","Atf1","A","Cftr",1
"68","Sp1","A","Gast",1
"69","Gata4","A","Nppa",1
"70","Rarg","A","Rarb",1
"71","Rarb","A","Rarg",1
"72","Jun","A","Ccl5",1
"73","Rela","A","Cd40",1
"74","Rela","A","Ifng",1
"76","Esr2","A","Rara",1
"78","Esr1","A","Rara",1
"80","Pax6","A","Krt12",1
"83","Fos","A","Tp53",1
"84","Tp53","A","Fos",1
"86","Sp1","A","Fos",1
"90","Sp1","A","Egr1",1
"93","Myc","A","Eno1",1
"94","Tp53","A","Ccnd1",-1
"95","Creb1","A","Pck1",1
"96","Rela","A","Nos2",1
"97","Nfkb1","A","Nos2",1
"99","Atf4","A","Ddit3",1
"100","Atf4","A","Atf3",1
"101","Atf3","A","Ddit3",1
"107","Smad4","A","Serpine1",1
"108","Smad3","A","Serpine1",1
"110","Tp53","A","Bax",1
"111","Tp53","A","Ccng1",1
"112","Tp53","A","Gadd45a",-1
"113","Stat4","A","Ifng",1
"114","Pparg","A","Lpl",1
"115","Nr5a1","A","Cyp17a1",1
"116","Fos","B","Runx1",0.5
"118","Foxo3","A","Faslg",1
"119","Usf1","A","Fasn",1
"122","Elk1","A","Sod1",1
"123","Fli1","A","Gp9",1
"124","Fli1","A","Itga2b",1
"125","Egr1","A","Elk1",1
"126","Elk1","A","Egr1",1
"133","Cebpa","A","Alb",1
"134","Creb1","A","Ccnd1",1
"135","Jun","A","Il6",1
"137","Hif1a","A","Epo",1
"138","Myc","A","Cdc25a",1
"142","Arnt","A","Epo",1
"143","Tp73","A","Mdm2",1
"144","Tp53","A","Tp73",1
"146","Tp73","A","Cdkn1a",1
"147","E2f4","A","E2f1",-1
"148","Sp1","A","Cdkn1a",1
"149","Ets2","A","Il5",1
"150","Gata3","A","Il5",1
"151","Ets1","A","Il5",1
"152","Sp1","A","Tgfb1",1
"156","Jun","A","Oxtr",1
"158","Rel","A","Il2ra",1
"159","Sp1","A","Ldlr",1
"160","Yy1","A","Ldlr",-1
"161","Cebpa","A","Pck1",1
"162","Wt1","A","Cdkn1a",1
"163","Fos","A","Ercc1",1
"164","Yy1","A","Cxcr4",-1
"165","Myc","A","Cxcr4",1
"166","Usf1","A","Cxcr4",1
"167","Atf2","A","Tnf",1
"168","Jun","A","Tnf",1
"169","Lef1","A","Ccnd1",1
"170","Cebpb","A","Star",1
"171","Nr5a1","A","Star",1
"174","Srf","A","Fos",1
"175","Myc","A","Cdkn1a",-1
"176","Jun","A","Il2",-1
"177","Sox9","A","Mia",1
"178","Irf1","A","Irf2",1
"180","Tp53","A","Litaf",1
"181","Tp53","A","Btg2",1
"182","Sp3","A","Cdkn1a",1
"183","Tp53","A","Pcna",1
"184","Atf2","A","Jun",1
"190","Egr1","A","F3",1
"192","Srf","A","Egr1",1
"194","Hnf4a","A","Serpina1e",1
"195","Hnf4a","A","Serpina1a",1
"196","Hnf4a","A","Serpina1b",1
"197","Hnf4a","A","Serpina1d",1
"198","Hnf4a","A","Serpina1c",1
"199","Jun","A","Csf2",1
"200","Nfatc2","A","Csf2",1
"201","Mef2a","A","Jun",1
"202","Runx2","A","Mmp13",1
"203","Ybx1","A","Mmp13",-1
"204","Pdx1","A","Ins2",1
"205","Hnf1a","A","Hnf4a",1
"206","Hnf4a","A","Hnf1a",1
"207","Hnf1a","A","Ins2",1
"209","Rfx1","A","Pcna",-1
"210","E2f1","A","Dhfr",1
"212","Wt1","A","Thbs1",1
"213","Sp1","A","Igfbp4",1
"216","Myc","A","Tp53",1
"217","Tp53","A","Myc",-1
"219","Nfkb1","A","Tp53",1
"220","Tp53","A","Rela",1
"221","Rela","A","Tp53",1
"222","Foxo1","A","Igfbp1",1
"223","Stat5a","A","Csn2",1
"224","Spi1","B","Utrn",0.5
"225","Ahr","A","Cyp1a1",1
"227","Stat3","A","Socs3",1
"228","Pou2f1","A","Il5",1
"229","Yy1","A","Il5",1
"231","Rara","A","Plau",1
"232","Sp1","A","Plau",1
"233","Lef1","A","Mmp7",1
"234","Spi1","A","Btk",1
"235","Sp1","A","Btk",1
"236","Sp3","A","Btk",1
"237","Sp1","A","Sp3",1
"239","Stat6","A","Il4",1
"243","Egr1","A","Pdgfa",1
"246","Jun","A","Abcb1a",1
"247","Rela","A","Cd40lg",1
"248","Cebpa","A","Sp1",1
"250","Sp1","A","Odc1",1
"252","Myc","A","Brca1",1
"253","Nr5a1","A","Cyp19a1",1
"256","Myc","A","Odc1",1
"259","Mycn","A","Ndrg1",1
"260","Myc","A","Ndrg1",-1
"261","Tp63","A","Cdkn1a",1
"262","Sp1","A","Cyp11a1",1
"266","Creb1","A","Egr1",1
"267","Egr1","A","Abcb1a",1
"268","Wt1","A","Abcb1a",1
"272","Hnf1a","A","Cyp7a1",1
"273","Wt1","A","Bcl2",1
"274","Fos","A","Clu",-1
"275","Fosl1","A","Clu",1
"276","Junb","A","Clu",1
"277","Creb1","A","Th",1
"281","Esr2","A","Oxt",1
"282","Sp1","A","Abcb1a",1
"284","Jun","A","Spi1",1
"285","Hif1a","A","Vegfa",1
"286","Smad4","A","Cdkn1a",1
"287","Esr1","A","C3",1
"288","Egr1","A","Tnf",1
"289","Sp1","A","Fn1",1
"292","Pparg","A","Fabp4",1
"293","Stat5a","A","Bcl2l1",1
"294","Sp1","A","Lep",1
"295","Stat5a","A","Osm",1
"296","Egr1","A","Mmp14",1
"297","Pparg","A","Cd36",1
"298","Cebpb","A","Il6",1
"299","Pax5","A","Cd79a",1
"303","Ets1","A","Parp1",1
"305","Pou2f1","A","H2-Ea",1
"306","Pou2f1","A","P04224",1
"307","Ets1","A","Mgat5",1
"311","Hsf1","A","Hspa4",1
"313","Cebpb","A","Hp",1
"315","Hif1a","A","Tfrc",1
"316","Myc","A","Hspa4",1
"317","Sp1","A","Psen1",1
"318","Nr5a1","A","Nr0b1",1
"319","Nr0b1","A","Nr5a1",-1
"321","Sp1","A","Slc25a5",1
"322","Esr1","A","E2f1",1
"324","Sp1","A","E2f1",1
"327","Tfap2a","A","Cyp11a1",1
"328","Sp1","A","Spi1",1
"332","Sp1","A","Plat",1
"333","Sp3","A","Plat",1
"337","Spi1","A","Il1b",1
"340","Pax5","A","Blk",-1
"341","Srebf2","A","Ldlr",1
"344","Pgr","A","Igfbp1",1
"345","Nr5a1","A","Cyp11a1",1
"346","Hnf1a","A","Ugt1a1",1
"347","Nfkb1","A","Ccnd1",1
"348","Rela","A","Ccnd1",1
"350","Cebpb","A","Il1b",1
"352","Rela","A","Plau",1
"353","Rel","A","Ccl12",1
"354","Rela","A","Ccl12",1
"355","Tp53","A","Mdm4",1
"357","Wt1","A","Mycn",-1
"359","Creb1","A","Jun",-1
"366","Pax3","A","Mitf",1
"368","Rela","A","Tnf",1
"369","Nfkb1","A","Tnf",1
"370","Nfic","A","Cyp1a1",-1
"371","E2f1","A","Rb1",1
"372","Sp1","A","Lhcgr",1
"376","Usf1","A","Pklr",1
"378","Stat3","A","Junb",1
"379","Sp1","A","Ccnd1",1
"381","Tfap2a","B","Esr1",0.5
"382","Esr1","A","Tfap2c",1
"383","Tfap2c","A","Esr1",1
"385","Pax8","A","Tg",-1
"386","Wt1","A","Igf1r",-1
"387","Esr1","A","Ccnd1",1
"390","Sp1","A","Itgav",-1
"391","Sp3","A","Itgav",1
"392","E2f1","A","Ccne1",1
"393","E2f1","A","Ccnd1",1
"394","Yy1","A","Tp53",1
"395","Irf1","A","Ciita",1
"397","Sp1","A","Mmp2",1
"398","Sp3","A","Mmp2",1
"399","Tfap2a","A","Mmp2",1
"400","Etv4","A","Mmp2",1
"401","Atf2","A","Cdkn1a",1
"404","Myc","A","Ccnd2",1
"406","Egr1","A","Fas",-1
"407","Fli1","A","Tgfbr2",1
"408","Sp1","A","Bax",1
"411","Ets1","A","Tp53",1
"413","Ets2","A","Tp53",1
"415","Egr1","A","Nab2",1
"416","Tp53","A","Cdk1",-1
"418","Nr1h4","A","Fabp6",1
"419","Tp53","A","Cdkn1b",1
"422","Tp53","A","Map4",-1
"424","Mef2c","A","Jun",1
"425","Tfap2a","A","Cdh1",1
"427","Stat6","A","Irf1",1
"429","Ppara","A","Ucp1",-1
"430","Pparg","A","Ucp1",1
"431","Epas1","A","Vegfa",1
"433","Cebpb","A","Fos",1
"437","Atf1","A","Il10",1
"438","Creb1","A","Il10",1
"441","Rela","A","Il6",1
"443","Spi1","A","Itgb2",1
"444","Hnf1a","A","Alb",1
"448","Usf1","A","Ccnb1",1
"450","Ar","A","Myc",1
"453","Sp1","A","F3",1
"456","Nfkb1","A","Icam1",1
"457","Nfkb1","A","Vcam1",1
"458","Rela","A","Icam1",1
"459","Rela","A","Vcam1",1
"460","Tp53","A","Ing1",1
"462","Ets1","A","Flt1",1
"463","Cebpe","A","Ltf",1
"464","Irf2","A","Ciita",1
"465","Usf1","A","Brca2",1
"466","Elf1","A","Brca2",1
"467","Usf2","A","Brca2",1
"468","Sp1","A","Tnf",1
"469","Smad3","A","Smad7",1
"470","Smad4","A","Smad7",1
"471","Fosl1","A","Eln",1
"472","Jun","A","Eln",1
"474","Hif1a","A","Cdkn1a",1
"475","Tfap2a","A","Mpg",1
"476","Atf6","A","Hspa5",1
"478","Atf1","A","Tgfb2",1
"480","Myc","A","Cad",1
"484","Irf8","A","Ncf2",1
"486","Egr1","A","Tp73",1
"489","Erg","A","Icam2",1
"491","Sp1","A","Nos3",1
"492","Ctcf","A","App",1
"493","Nfkb1","A","Bcl2l1",1
"494","Rela","A","Bcl2l1",1
"496","Srebf1","A","Fasn",1
"497","Crem","A","Il2",-1
"500","Mitf","A","Tyr",1
"502","Hif1a","A","Serpine1",1
"503","Myb","A","Ccna1",1
"504","E2f1","A","Cdkn2a",1
"505","E2f1","A","Ccna2",1
"507","Runx1","B","Etv6",0.5
"508","Tp53","A","Brca1",-1
"509","Myc","A","Hmox1",1
"510","Smad3","A","Cdkn1a",1
"511","Wt1","A","Tert",-1
"512","Fos","A","Il2",1
"514","Ar","A","Cdkn1a",1
"515","Tp53","A","Tp63",-1
"517","Egr1","A","Igf2",1
"518","Wt1","A","Igf2",-1
"519","Myc","A","Ncl",1
"521","Ets1","A","Pthlh",1
"523","Tp53","A","Tgfb1",1
"524","Tp53","A","Gdf15",1
"528","Sp1","A","Src",1
"529","Smad1","A","Spp1",1
"544","Ctcf","A","Myc",-1
"545","Hnf4a","A","Cyp7a1",-1
"548","Rara","A","Rarb",1
"549","Cebpb","A","Ptgs2",1
"550","Ppara","A","Lpl",1
"553","Neurod1","A","Ins2",1
"554","Rest","A","Grin1",-1
"555","Sp1","A","Ccl12",1
"558","Tfap2a","A","Erbb2",1
"560","Rela","A","Fn1",-1
"561","Nfkb1","A","Fn1",-1
"565","Pgr","A","Myc",1
"567","Foxa2","A","Pdx1",1
"569","Snai1","A","Cdh1",-1
"571","Sp1","A","Il10",1
"572","Stat6","A","Alox15",1
"573","Fos","B","Cd44",0.5
"574","Jun","A","Cd44",1
"577","Jun","A","Ptgs2",1
"579","Egr1","A","Flt1",1
"580","Sp1","A","Sod2",-1
"590","Cdx2","A","Lct",1
"591","Spi1","A","Prtn3",1
"593","Nr5a1","A","Amh",1
"594","Vdr","A","Bglap",1
"595","Vdr","A","Bglap3",1
"596","Vdr","A","Bglap2",1
"597","Hif1a","A","Nos2",1
"598","Tp53","A","Cav1",1
"600","Fos","A","Mmp1a",1
"601","Sp1","A","Plaur",1
"604","E2f1","A","Serpine1",-1
"607","Tp53","A","Serpinb5",1
"610","Myb","A","Bcl2",1
"611","Nr5a1","A","Pou5f1",1
"613","Egr1","A","Chrna7",1
"617","Pax8","A","Tpo",1
"618","Ets1","A","Ctsb",1
"620","Sp3","A","Ctsb",1
"621","Irf1","A","Ifnb1",1
"622","Arnt","A","Vegfa",1
"623","Stat4","A","Myc",1
"624","Myc","A","Il2",1
"625","Klf12","A","Tfap2a",-1
"627","Sp1","A","Hspa1a",1
"628","Rel","A","Icam1",1
"630","Smad3","A","Tgfb1",-1
"631","Gata2","A","Nos3",1
"632","Prdm1","A","Myc",-1
"634","Yy1","A","Myc",1
"635","Irf1","A","Ccl5",1
"637","Sp1","A","Rela",1
"638","Sp1","A","Igf1r",1
"641","Sp3","A","Itgad",1
"642","Sp1","A","Itgad",1
"647","Tp53","A","Perp",-1
"650","Myc","A","Faslg",1
"651","Spi1","A","Tlr4",1
"653","Stat3","A","Gfap",1
"654","Esr1","A","Ltf",1
"656","Wt1","A","Amh",1
"657","Stat3","A","Vegfa",1
"658","Ppara","A","Cyp7a1",1
"660","Tp53","A","Abcb1a",-1
"661","Lef1","A","Mitf",1
"668","Hnf1a","A","Slc2a2",1
"669","Tp53","A","Bdkrb2",1
"670","Cebpa","A","Il6",1
"671","Cebpd","B","Il6",0.5
"675","Klf4","A","Cdkn1a",1
"676","Esr1","A","Igf1",1
"677","Creb1","A","Bcl2",1
"680","Wt1","A","Cdh1",-1
"682","Cebpb","A","Tnf",1
"683","Egr2","A","Faslg",-1
"685","Tfdp1","A","Ccne1",1
"686","Neurog3","A","Neurod1",1
"687","Tbx21","A","Ifng",1
"689","Irf1","A","Psmb9",1
"692","Hnf1a","A","G6pc1",1
"693","Sp1","A","Tgfbr2",1
"694","Foxa2","A","Hhex",1
"696","Nr5a1","A","Mc2r",1
"698","Sp1","A","Col1a2",1
"700","Sp1","A","Ar",1
"701","Gabpa","A","Brca1",1
"703","Tp53","A","Dkk1",1
"704","Hif1a","A","Cp",1
"705","Ppara","A","Acsl1",-1
"706","Sp1","A","Vim",1
"708","Tp53","A","Tert",-1
"709","Sp1","A","Tert",1
"712","Jun","A","Mmp13",1
"713","Jund","A","Mmp13",1
"714","Egr1","A","Fn1",1
"715","Egr1","A","Serpine1",1
"716","Egr1","A","Tgfb1",1
"717","Foxo4","A","Cdkn1b",1
"718","Hnf4a","A","Pklr",1
"719","Tp53","A","Abcc1",1
"720","Sp1","A","Tnfrsf8",1
"721","Cebpd","A","Tnf",1
"726","Srebf1","A","Acly",1
"727","Srebf2","A","Acly",1
"728","Sp1","B","Scarb1",0.5
"729","Jun","A","Egfr",1
"730","Fos","B","Egfr",0.5
"731","Junb","A","Egfr",1
"733","Esr2","A","Tert",1
"735","Stat3","A","Socs1",1
"738","Sp1","A","Vegfa",1
"739","Sp3","A","Vegfa",1
"741","Irf1","A","Socs1",1
"742","Spi1","A","Cd40",1
"743","Spib","A","Cd40",1
"744","Sp1","A","Ptgs2",1
"746","Ets1","B","Cdh5",0.5
"747","Tp53","A","Cd82",1
"748","Stat3","B","Icam1",0.5
"749","Sp1","A","Egfr",-1
"752","Rela","A","Serpine1",1
"753","Cebpd","A","Ptgs2",1
"754","Egr1","A","Th",1
"756","Smad4","A","Tgfb1",1
"757","Sp1","B","Smad7",0.5
"758","Sp1","A","Vdr",1
"760","Sp1","A","Ltf",1
"766","Hif1a","A","Adm",1
"767","Bmal1","A","Per1",1
"768","Clock","A","Per1",1
"769","Bmal1","A","Dbp",1
"770","Atf2","A","Ifnb1",1
"771","Irf3","A","Ifnb1",1
"772","Jun","A","Ifnb1",1
"774","Ets1","A","Csnk2a1",1
"775","Sp1","A","Csnk2a1",1
"777","Tp53","A","Mapk8",1
"778","Junb","A","Cdkn2a",1
"780","Nr1h3","A","Abca1",1
"783","Tfap2a","A","Hgf",-1
"785","Spi1","A","Serpinb1a",1
"787","Cebpa","A","Pparg",1
"788","Cebpb","B","Pparg",0.5
"792","Egr1","B","Klf5",0.5
"793","Esr1","A","Vegfa",1
"795","Spi1","A","Mmp2",1
"797","Myc","A","Thbs1",-1
"800","Sp1","A","Utrn",1
"801","Pax3","A","Bcl2l1",1
"802","Hoxa5","A","Pgr",1
"804","Stat3","A","Crp",1
"805","Cebpb","A","Crp",1
"806","Sp1","A","Serpine1",1
"807","Cdx2","A","Gucy2c",1
"809","Fos","A","Cdkn1a",1
"811","Pax4","A","Ins2",-1
"812","Tp53","A","Casp3",1
"813","Sp1","A","Pgr",1
"814","Esr1","A","Pgr",1
"815","Pgr","A","Esr1",1
"816","Esr1","A","Egf",1
"819","Stat3","A","Il10",1
"822","Atf2","A","Ins2",1
"823","Creb1","A","Ins2",1
"824","Tp53","A","Vegfa",-1
"825","Myc","A","Gadd45a",-1
"826","Elk1","A","Tnf",1
"828","Fosl1","A","Mmp1a",1
"829","Jun","A","Mmp1a",1
"830","E2f1","A","Tyms",1
"831","E2f1","A","Mdm2",-1
"835","Hnf4a","B","Src",0.5
"836","Jun","A","Ccl12",1
"839","Sp1","A","Star",1
"840","Nfkb1","A","Csf1",1
"841","Hif1a","A","Bnip3",1
"842","Sox10","A","Mpz",1
"843","Fos","A","Mmp9",1
"844","Gata1","B","Sptb",0.5
"846","Sox10","A","Mitf",1
"849","Jun","A","Il24",1
"851","Ets1","A","Psen1",1
"853","Zeb1","A","Cdh1",-1
"854","Sp1","A","Mybl1",1
"859","Foxo1","A","G6pc1",1
"860","Sp1","A","Ptn",1
"861","Atf3","A","Sele",-1
"863","Rela","A","Edn1",1
"867","Sp1","A","Alox12",1
"869","Wt1","A","Ccn2",1
"871","Nfkb1","A","Il6",1
"872","Creb1","A","Tg",1
"874","Sp1","A","Cd44",1
"875","Jun","A","Atf3",1
"876","Atf2","A","Atf3",1
"877","Tp53","A","Rrm2b",1
"878","Cebpb","A","Cdkn1a",1
"880","Esr1","B","Igf1r",0.5
"881","Sp1","A","Esr1",1
"882","Esr1","A","Sp1",1
"883","Egr1","A","Tgfbr2",1
"888","Zic2","A","Drd1",1
"891","Pou2f1","A","Hpgds",1
"896","Jun","A","Gclc",1
"897","Hif1a","A","Tp53",1
"898","Tfap2a","A","Vegfa",1
"899","Cebpb","A","Il4",1
"907","Esr1","A","Apoa1",1
"908","Nr5a1","A","Cyp11b2",1
"909","Atf1","A","Cga",1
"910","Creb1","A","Cga",1
"912","Esr2","A","Pgr",1
"913","Bmal2","A","Serpine1",1
"914","Spi1","A","Gata1",1
"917","Esr1","A","Krt19",1
"919","Hnf4a","B","Rxra",0.5
"923","Esr1","A","Akt1",1
"924","Esr1","A","Nos3",1
"925","Sp1","A","Polb",-1
"926","E2f4","A","Cdk1",1
"930","Nfkb1","A","Crp",1
"931","Nfkb1","A","Il1b",1
"932","Jun","A","Nqo1",-1
"935","Nfe2l2","A","Nqo1",1
"937","Zic1","A","Apoe",1
"938","Zic2","A","Apoe",1
"939","Atf2","A","Pck1",1
"942","Wt1","A","Vdr",1
"944","Sp1","A","Il1a",1
"945","Foxa1","A","Sftpb",1
"947","Hes1","A","Ascl1",-1
"948","Rel","A","F3",1
"950","Nfkb1","A","Mmp9",1
"951","Nfkb1","A","Nfkbia",1
"952","Rela","A","Mmp9",1
"953","Rela","A","Nfkbia",1
"954","Sp1","A","Mmp9",1
"955","Tp53","B","Fhl2",0.5
"956","Tbx2","A","Cdkn2a",-1
"959","Wt1","A","Egfr",-1
"961","Sp3","A","Alpl",1
"964","Mitf","A","Kit",1
"965","Myf6","A","Acacb",1
"968","Nfkb1","A","Ptgs2",1
"969","Rela","A","Ptgs2",1
"970","Usf1","A","Hoxb4",1
"971","Usf2","A","Hoxb4",1
"972","Esr1","A","Avp",1
"975","Creb1","A","Ptgs2",1
"976","Gata3","A","Il4",1
"977","Myb","A","Rag2",1
"978","Tfap2c","A","Csta",1
"981","Tp53","A","Ppm1d",1
"982","Prdm1","A","Ciita",-1
"983","Myc","A","Bax",1
"985","Tp53","A","Fas",1
"987","Atf1","A","Th",1
"988","Srebf2","A","Fdft1",1
"989","Nfkb1","A","Cftr",1
"990","Rela","A","Cftr",1
"991","Rela","A","Il1b",1
"992","Spi1","A","Ptprc",1
"996","Ahr","A","Myc",1
"997","Rela","A","Myc",1
"998","Myb","A","Mat2a",1
"1002","Creb1","A","Ren1",1
"1003","Creb1","A","Psen1",1
"1004","Sp1","A","Tp53",1
"1005","Nfe2l2","A","Gclc",1
"1006","Usf1","A","S100a6",1
"1007","Hif1a","A","Slc2a1",1
"1009","Stat3","A","Bcl6",1
"1010","Tp53","A","Hras",-1
"1011","Tp53","A","Nos2",-1
"1013","Creb1","A","Trh",1
"1015","Jun","A","Il1b",1
"1017","Esr1","A","Tgfa",1
"1018","Tfap2a","A","Dbh",1
"1019","Tfap2a","A","Th",1
"1020","Nr1h3","A","Apoe",1
"1021","Nr1h3","A","Abcg1",1
"1023","Tp53","A","Chek1",-1
"1024","Nkx2-1","A","Sftpb",1
"1028","E2f4","A","Dhfr",1
"1030","Tfdp1","A","Dhfr",1
"1031","Etv4","A","Mmp7",1
"1032","Stat3","A","Mcl1",1
"1033","Sp1","A","Ccnd2",1
"1034","Stat5a","A","Ccnd2",-1
"1035","Rel","A","Il6",-1
"1036","Rel","A","Crp",1
"1038","Nfyb","B","Cd74",0.5
"1039","Ar","B","Mme",0.5
"1040","Cebpb","A","Igf2",1
"1041","Sp1","A","Igf2",1
"1042","Esr1","A","Ctsd",1
"1043","Sp1","A","Ctsd",1
"1045","Gata2","A","Epo",-1
"1046","Ppara","A","Cpt1a",-1
"1047","Esr1","A","Hspb1",1
"1048","Creb1","A","Nf1",1
"1050","Etv4","A","Erbb2",-1
"1051","Creb1","A","Plat",-1
"1052","Atf2","A","Plat",1
"1054","Jun","A","Vegfa",-1
"1055","Pou2f1","A","Gadd45a",1
"1057","Sp1","A","Pdgfb",1
"1058","Egr1","A","Pdgfb",1
"1064","Hnf4a","A","Apob",1
"1068","Sp1","A","Cdkn1b",1
"1069","Ets1","A","Cdkn2a",1
"1070","Ets2","A","Cdkn2a",1
"1071","Fosl1","A","Plaur",1
"1072","Jun","A","Plaur",1
"1073","Tp53","A","Ndrg1",1
"1074","Mitf","A","Tyrp1",1
"1076","Sp3","A","Utrn",1
"1077","Irf1","A","Tap2",1
"1078","Creb1","A","Il2",1
"1082","Etv4","A","Plaur",1
"1083","Spi1","A","Cybb",1
"1084","Usf1","A","Apc",1
"1085","Usf2","A","Apc",1
"1086","Tal1","B","Tcf12",0.5
"1088","Jun","A","Nos2",1
"1089","Spi1","A","Il12b",1
"1090","Rel","A","Il2",1
"1091","Sp1","A","Gja1",1
"1093","Sox9","A","Amh",1
"1094","Srf","A","Dmd",1
"1097","Sp3","A","Maob",1
"1098","Sp1","A","Maob",1
"1099","Fos","A","Cd69",1
"1103","Nr3c1","A","Scnn1a",1
"1104","Usf1","A","Cyp1a1",-1
"1106","Etv4","A","Ptgs2",1
"1107","Nfe2l2","A","Hmox1",1
"1108","Esr1","A","Cdkn1a",1
"1109","Tp53","A","Casp1",1
"1110","Pparg","A","Ptgs2",-1
"1114","Pou2f1","A","Cdx2",1
"1115","Hnf1a","A","Pdx1",1
"1121","Sp1","A","Apoa1",1
"1124","Hif1a","A","Edn1",1
"1126","Cebpb","A","Il12b",1
"1127","Jun","A","Il12b",1
"1128","Srf","A","Tagln",1
"1133","Cdx2","A","Pdgfb",1
"1134","E4f1","A","Ccna2",-1
"1135","Zbtb17","A","Cdkn2b",1
"1136","Myc","A","Cdkn2b",-1
"1137","Cebpa","B","Runx1",0.5
"1138","Ppara","A","Fabp1",1
"1139","Hnf1a","A","Akr1c6",1
"1140","Sp1","A","Slc9a2",1
"1141","Sp3","A","Slc9a2",1
"1142","Nr1h2","A","Srebf1",1
"1143","Nr1h3","A","Srebf1",1
"1144","Nr1h3","B","Fasn",0.5
"1145","Pparg","A","Ccnd1",-1
"1146","Fos","A","Ccnd1",-1
"1147","Myb","A","Cd4",-1
"1151","Sp1","A","Cdk6",-1
"1153","Wt1","A","Ar",-1
"1155","Tp53","A","Dnmt1",-1
"1158","Mitf","A","Dct",1
"1159","Tfap2a","A","F2r",1
"1160","Tfap2a","A","Fas",1
"1161","Tfap2a","A","Kit",1
"1166","Myb","B","Pdcd4",0.5
"1171","Egr1","B","Bcr",0.5
"1172","Stat3","A","A2m",1
"1175","Jun","A","Nr3c1",1
"1177","Jun","A","Cyp11a1",1
"1178","Jun","A","Mmp9",1
"1180","Usf1","A","Top3a",1
"1181","Yy1","A","Top3a",1
"1182","Nrl","A","Rho",-1
"1185","Smad3","A","Bglap",1
"1186","Smad3","A","Bglap3",1
"1187","Smad3","A","Bglap2",1
"1189","Mitf","A","Ctsk",1
"1192","Jund","A","Il6",1
"1196","Sp1","A","Ces1d",1
"1197","Tfap2a","A","Taf7",1
"1198","Cebpa","A","Lep",1
"1199","Myc","A","Cebpa",-1
"1200","Cebpa","A","Myc",-1
"1203","Sp1","A","Cd28",1
"1204","Egr1","A","Cd28",1
"1205","Sp1","A","Col1a1",-1
"1206","Sp1","A","Timp1",1
"1207","Tp53","A","Msh2",1
"1208","Fos","A","Vegfa",1
"1209","Fos","A","Il6",1
"1210","Usf1","A","Ptgs2",-1
"1211","Hif1a","A","Hmox1",1
"1214","Pax5","A","Cd19",1
"1216","Rela","A","Nfkb1",1
"1218","Ahr","A","Ugt1a6",1
"1221","Stat6","A","Bcl2l1",1
"1226","Tp53","A","Pold1",1
"1228","Hnf4a","A","Ghr",1
"1229","Creb1","A","Bdnf",1
"1230","Pparg","A","Pten",1
"1233","Nr1h4","A","Abcb11",1
"1234","Rela","A","Bcl3",1
"1235","E2f1","A","Apaf1",1
"1236","Tp53","A","Apaf1",1
"1237","Ets1","A","Csnk2a2",1
"1238","Sp3","A","Tnf",1
"1240","Rela","A","Csf2",1
"1242","Tp53","A","Cdc25c",1
"1243","Pparg","A","Pck1",1
"1249","Sp1","A","Agtr1a",1
"1250","Tfap2a","A","Cdkn1a",1
"1252","Hsf1","A","Hspa1a",1
"1253","Spi1","A","Acp5",1
"1254","Sp1","A","Mat2a",1
"1257","Sp1","A","Ca9",1
"1258","Stat3","A","Bcl2",1
"1260","E2f1","A","Tert",-1
"1261","Bmal1","A","Cry1",1
"1262","Bmal1","A","Per2",1
"1263","Npas2","A","Cry1",1
"1264","Npas2","A","Per1",1
"1265","Npas2","A","Per2",1
"1268","Sp1","A","Col2a1",1
"1269","Sp3","A","Col2a1",1
"1271","Pax8","A","Bcl2",1
