,gene_name,p-value,logFC,-logQ
96,Aplp2,3.969752395783029e-08,1.9588618,7.4012365805161355
97,Fxyd1,4.1606158688585594e-08,3.2435322,7.3808423788323765
98,Satb2,5.147989303798073e-08,2.4888241,7.288362364119302
99,Nenf,5.179663128201119e-08,3.1787298,7.285698484718241
100,Zeb2,5.705898777578785e-08,1.6682318,7.243675936977734
101,Slc29a1,5.890156194196819e-08,2.5972404,7.22987318851029
102,Apoe,7.114269481160368e-08,2.3532283,7.147869688213448
103,Pmepa1,7.175006417226711e-08,2.9480073,7.144177706166806
104,Adamts2,7.87714924928278e-08,2.5178185,7.103630925823577
105,Ctnnb1,9.694170031313554e-08,1.745195,7.013489367219652
106,Runx1,1.446673737512683e-07,1.9437253,6.839629402519201
107,Fam20c,1.8176546371542364e-07,3.4125488,6.740488631249688
108,Nfe2l1,1.8697669396426955e-07,2.2653754,6.728212523482239
109,Pfdn5,1.9323909257567667e-07,1.9277282,6.713905010568159
110,Nfib,2.83811382718307e-07,2.149949,6.546970190440857
111,Rpl34,2.99015724936738e-07,1.5393327,6.524305971964271
112,Dad1,3.3258555687107917e-07,2.085264,6.4780966147298145
113,Bmp1,3.38002852852457e-07,2.9044874,6.471079634122194
114,Plxna2,3.601214853152719e-07,3.3348165,6.443550967283226
115,Sh3glb1,3.809986988286243e-07,1.8740324,6.419076507506831
116,Rps7,4.928201162036009e-07,1.6684359,6.307311573209874
117,Lrp1,5.385137987357694e-07,2.2057946,6.268803163975984
118,Rps10,5.718646753192764e-07,1.5219475,6.242706729450404
119,Ctgf,5.764156498432164e-07,2.9126856,6.239264236483507
120,Ctsl,6.541573139047116e-07,2.3097703,6.184317798548657
121,Rpl18,7.742438565470543e-07,1.5203679,6.111122231987707
122,Rpl32,8.658140420212817e-07,1.2526399,6.062575374952864
123,Il6st,9.517702594547276e-07,2.0550518,6.02146786998956
124,Pcolce,1.033242237265422e-06,2.5933177,5.985797848882408
125,Raph1,1.1078566192513103e-06,2.0805953,5.9555164431250125
126,Scara3,1.1388800609177647e-06,2.5270076,5.94352201044619
127,Rabac1,1.1502518113229705e-06,1.8974808,5.939207074171011
128,Sema7a,1.2087689981675649e-06,2.8812482,5.91765668706861
129,Hint1,1.2370472962894096e-06,1.5663937,5.907613695581198
130,Gng5,1.327208453278255e-06,1.704848,5.877060860859217
131,Gpx8,1.3761347164125821e-06,2.9180577,5.86133904885431
132,Ccdc80,1.4583628200123712e-06,2.1934342,5.8361344162601645
133,Dst,1.4760113568685567e-06,3.2921438,5.830910300909745
134,Ssr4,1.7590374706063091e-06,2.0379436,5.754724909204149
135,Epas1,1.7686129712040177e-06,4.2215314,5.752367194145227
136,Tmsb10,1.784038043726563e-06,1.4043136,5.748595888746694
137,Ftl1,1.8390503226281784e-06,1.4194925,5.735406386835485
138,Tns3,1.8570763974531252e-06,2.7149045,5.7311702296421005
