,gene_name,p-value,logFC,-logQ
196,Jund,0.030822987788388496,1.0079707,1.5111252657759862
197,Mt1,0.03100822988352326,1.2060037,1.5085230249190749
198,Enpp1,0.031147787806059056,1.7458644,1.5065727925919017
199,Tmem167,0.03204423140951161,1.1295669,1.494250140638223
200,Cyb5a,0.032331874524059376,0.95228225,1.4903691153125058
201,Ptma,0.032476523778595695,0.6155499,1.4884304629459084
202,Med21,0.03262172703474653,2.132325,1.486493050597826
203,Mrpl33,0.03281619601930021,0.99704283,1.4839117628190117
204,Rheb,0.03296269839092971,1.585126,1.4819772433243568
205,Slc25a4,0.03315890555826481,0.91346765,1.4793998121944512
206,Scn1b,0.03335611139906336,2.5830595,1.476824584424105
207,Malat1,0.033604029114004785,0.29337946,1.4736086476972556
208,Suclg1,0.033604029114004785,2.0153863,1.4736086476972556
209,Stag1,0.0338535211880321,1.1629964,1.470396152591844
210,H2-T23,0.03400397535591584,1.3070006,1.468470307245567
211,Rbm3,0.03491875561555361,0.8032633,1.4569412414535194
212,Hint1,0.035073243986429886,0.7179977,1.4550240635952423
213,Tpm4,0.03590707142110913,0.879034,1.4448200144650536
214,Cib1,0.03617108485585698,1.4490666,1.4416384655306977
215,Bgn,0.036811476493999136,0.58834106,1.434016762821293
216,Npc2,0.03708114268149809,0.61445415,1.4308468912313481
217,Sdf2l1,0.0375707813141145,2.279434,1.4251497733454437
218,Tex261,0.03779015816630619,1.4463668,1.422621290390203
219,Tmed3,0.03806591075463664,1.0541751,1.4194637749346053
220,Cox7b,0.038903456509588194,0.9867549,1.4100118105932704
221,Anxa5,0.03901630336093119,0.85163534,1.408753880661665
222,Itgb5,0.03907283096948533,1.377913,1.4081251214118964
223,Vps29,0.03935651345817851,1.5086155,1.4049833821142197
224,Pxk,0.03958471671546219,1.7001268,1.402472458703347
225,Prdx4,0.03958471671546219,1.2131327,1.402472458703347
226,Fgfr1,0.03969923887636785,0.93477327,1.4012178195583505
227,RP24-137O21.1,0.04004449379955543,1.687795,1.3974571918610668
228,Ddx3y,0.04062557844431953,6.3986726,1.391200442298913
229,Spcs2,0.04097764836022113,0.9314746,1.3874529686650412
230,RP23-338E5.2,0.04115465061548363,1.1923133,1.3855810809251223
231,Psmd4,0.041749342866860294,1.1540161,1.3793503559059468
232,Inhbb,0.041749342866860294,3.6101668,1.3793503559059468
233,Osmr,0.042109637986423455,0.9513746,1.3756184921626007
234,Azi2,0.04271597585194378,1.3064443,1.3694096676745802
235,Aes,0.042899310462558196,1.204908,1.3675496883447096
236,Lyz2,0.04302190271820848,0.74989873,1.36631038609767
237,Gng11,0.043515236884349794,1.0133749,1.3613586479618098
238,Os9,0.044327094219129025,1.1750488,1.3533307371409962
239,Fxyd1,0.044390070792118166,0.9227455,1.3527141623726562
